sample_id,time,hostname,offset_ns,jitter_ns
73,2026-09-04 18:37:32,compute-0-3,13.0,45.000
74,2026-09-04 18:37:42,compute-0-1,6.0,39.000
74,2026-09-04 18:37:43,compute-0-2,-60.0,99.000
74,2026-09-04 18:37:43,compute-0-3,-82.0,95.000
75,2026-09-04 18:37:53,compute-0-1,-86.0,92.000
75,2026-09-04 18:37:54,compute-0-2,-75.0,15.000
75,2026-09-04 18:37:54,compute-0-3,58.0,140.000
76,2026-09-04 18:38:04,compute-0-1,92.0,178.000
76,2026-09-04 18:38:05,compute-0-2,41.0,116.000
76,2026-09-04 18:38:05,compute-0-3,-27.0,85.000
77,2026-09-04 18:38:15,compute-0-1,21.0,71.000
77,2026-09-04 18:38:16,compute-0-2,9.0,32.000
77,2026-09-04 18:38:16,compute-0-3,-27.0,0.000
78,2026-09-04 18:38:27,compute-0-1,-48.0,69.000
78,2026-09-04 18:38:27,compute-0-2,-55.0,64.000
78,2026-09-04 18:38:27,compute-0-3,-43.0,16.000
79,2026-09-04 18:38:38,compute-0-1,-38.0,10.000
79,2026-09-04 18:38:38,compute-0-2,55.0,110.000
79,2026-09-04 18:38:38,compute-0-3,62.0,105.000
80,2026-09-04 18:38:49,compute-0-1,52.0,90.000
80,2026-09-04 18:38:49,compute-0-2,65.0,10.000
80,2026-09-04 18:38:49,compute-0-3,21.0,41.000
81,2026-09-04 18:39:00,compute-0-1,24.0,28.000
81,2026-09-04 18:39:00,compute-0-2,-13.0,78.000
81,2026-09-04 18:39:00,compute-0-3,-15.0,36.000
82,2026-09-04 18:39:11,compute-0-1,-24.0,48.000
82,2026-09-04 18:39:11,compute-0-2,-60.0,47.000
82,2026-09-04 18:39:12,compute-0-3,-94.0,79.000
83,2026-09-04 18:39:22,compute-0-1,55.0,79.000
83,2026-09-04 18:39:22,compute-0-2,64.0,124.000
83,2026-09-04 18:39:23,compute-0-3,39.0,133.000
84,2026-09-04 18:39:33,compute-0-1,13.0,42.000
84,2026-09-04 18:39:33,compute-0-2,-10.0,74.000
84,2026-09-04 18:39:34,compute-0-3,1.0,38.000
85,2026-09-04 18:39:44,compute-0-1,-15.0,28.000
85,2026-09-04 18:39:44,compute-0-2,-20.0,10.000
85,2026-09-04 18:39:45,compute-0-3,-47.0,48.000
86,2026-09-04 18:39:55,compute-0-1,-77.0,62.000
86,2026-09-04 18:39:56,compute-0-2,-85.0,65.000
86,2026-09-04 18:39:56,compute-0-3,81.0,128.000
87,2026-09-04 18:40:06,compute-0-1,53.0,130.000
87,2026-09-04 18:40:07,compute-0-2,29.0,114.000
87,2026-09-04 18:40:07,compute-0-3,22.0,59.000
88,2026-09-04 18:40:17,compute-0-1,-25.0,78.000
88,2026-09-04 18:40:18,compute-0-2,-55.0,84.000
88,2026-09-04 18:40:18,compute-0-3,-95.0,117.000
89,2026-09-04 18:40:28,compute-0-1,51.0,76.000
89,2026-09-04 18:40:29,compute-0-2,71.0,126.000
89,2026-09-04 18:40:29,compute-0-3,40.0,135.000
90,2026-09-04 18:40:40,compute-0-1,51.0,0.000
90,2026-09-04 18:40:40,compute-0-2,29.0,42.000
90,2026-09-04 18:40:40,compute-0-3,-29.0,69.000
91,2026-09-04 18:40:51,compute-0-1,-57.0,108.000
91,2026-09-04 18:40:51,compute-0-2,-49.0,78.000
91,2026-09-04 18:40:51,compute-0-3,-75.0,46.000
92,2026-09-04 18:41:02,compute-0-1,68.0,125.000
92,2026-09-04 18:41:02,compute-0-2,44.0,93.000
92,2026-09-04 18:41:02,compute-0-3,44.0,119.000
93,2026-09-04 18:41:13,compute-0-1,19.0,49.000
93,2026-09-04 18:41:13,compute-0-2,16.0,28.000
93,2026-09-04 18:41:14,compute-0-3,-55.0,99.000
94,2026-09-04 18:41:24,compute-0-1,-62.0,81.000
94,2026-09-04 18:41:24,compute-0-2,-77.0,93.000
94,2026-09-04 18:41:25,compute-0-3,64.0,119.000
95,2026-09-04 18:41:35,compute-0-1,63.0,125.000
95,2026-09-04 18:41:35,compute-0-2,49.0,126.000
95,2026-09-04 18:41:36,compute-0-3,34.0,30.000
96,2026-09-04 18:41:46,compute-0-1,31.0,32.000
96,2026-09-04 18:41:46,compute-0-2,-4.0,53.000
96,2026-09-04 18:41:47,compute-0-3,19.0,15.000
97,2026-09-04 18:41:57,compute-0-1,-17.0,48.000
97,2026-09-04 18:41:58,compute-0-2,-40.0,36.000
97,2026-09-04 18:41:58,compute-0-3,-67.0,86.000
98,2026-09-04 18:42:08,compute-0-1,-71.0,54.000
98,2026-09-04 18:42:09,compute-0-2,60.0,100.000
98,2026-09-04 18:42:09,compute-0-3,57.0,124.000
99,2026-09-04 18:42:19,compute-0-1,48.0,119.000
99,2026-09-04 18:42:20,compute-0-2,38.0,22.000
99,2026-09-04 18:42:20,compute-0-3,18.0,39.000
100,2026-09-04 18:42:30,compute-0-1,11.0,37.000
100,2026-09-04 18:42:31,compute-0-2,-2.0,40.000
100,2026-09-04 18:42:31,compute-0-3,-62.0,80.000
101,2026-09-04 18:42:42,compute-0-1,-39.0,50.000
101,2026-09-04 18:42:42,compute-0-2,-70.0,68.000
101,2026-09-04 18:42:42,compute-0-3,-82.0,20.000
102,2026-09-04 18:42:53,compute-0-1,-3.0,36.000
102,2026-09-04 18:42:53,compute-0-2,-16.0,54.000
102,2026-09-04 18:42:54,compute-0-3,-73.0,9.000
103,2026-09-04 18:43:04,compute-0-1,-76.0,73.000
103,2026-09-04 18:43:04,compute-0-2,-106.0,90.000
103,2026-09-04 18:43:05,compute-0-3,88.0,161.000
104,2026-09-04 18:43:15,compute-0-1,20.0,96.000
104,2026-09-04 18:43:15,compute-0-2,27.0,133.000
104,2026-09-04 18:43:16,compute-0-3,9.0,79.000
105,2026-09-04 18:43:26,compute-0-1,10.0,10.000
105,2026-09-04 18:43:26,compute-0-2,6.0,21.000
